pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times
0,21,21,260792,260734,260771,10.9,0,4396
1,50,63,46187,46095,46124,71.6,13,1988
2,70,106800,110068,3234,3268,49.0,106730,3133
3,100,105,34263,34125,34158,75.9,5,1852
4,115,110069,113342,3234,3273,48.0,109954,3138
5,187,189,15626,15403,15437,64.7,2,1293
6,211,238301,242686,4347,4385,15.0,238090,4197
7,238,26877,28636,1722,1759,82.0,26639,1696
8,254,225343,229607,4242,4264,18.0,225089,4081
9,334,116693,120105,3381,3412,46.0,116359,3270
10,389,25121,26876,1722,1755,83.0,24732,1692
11,470,72333,74995,2625,2662,61.0,71863,2556
12,474,34264,36202,1911,1938,78.0,33790,1866
13,475,289916,294954,4998,5038,4.0,289441,4819
14,476,192070,196128,4032,4058,26.0,191594,3885
15,517,62260,64723,2436,2463,65.0,61743,2366
16,526,176029,179988,3927,3959,30.0,175503,3791
17,606,196129,200192,4032,4063,25.0,195523,3890
18,653,221113,225342,4200,4229,19.0,220460,4048
19,697,735,15465,14696,14730,81.7,38,1293
20,729,103653,106799,3108,3146,50.0,102924,3017
21,776,38148,40099,1911,1951,76.0,37372,1879
22,800,94643,97608,2940,2965,53.0,93843,2844
23,855,77732,80482,2709,2750,59.0,76877,2640
24,911,164406,168234,3801,3828,33.0,163495,3666
25,988,294955,300053,5061,5098,3.0,293967,4876
26,1088,1092,5752,4628,4660,67.5,4,1091
27,1194,183978,188016,4011,4038,28.0,182784,3866
28,1272,42067,44120,2016,2053,74.0,40795,1976
29,1344,83244,86009,2730,2765,57.0,81900,2654
30,1377,69763,72332,2541,2569,62.0,68386,2467
31,1448,141511,145300,3759,3789,39.0,140063,3629
32,1494,54988,57376,2352,2388,68.0,53494,2295
33,1561,260793,265510,4683,4717,10.0,259232,4513
34,1580,21739,23417,1638,1678,85.0,20159,1619
35,1635,23418,25120,1680,1702,84.0,21783,1641
36,1653,152933,156752,3780,3819,36.0,151280,3658
37,1709,270291,275122,4809,4831,8.0,268582,4621
38,1803,52682,54987,2268,2305,69.0,50879,2216
39,1857,127113,130675,3528,3562,43.0,125256,3413
40,1940,40100,42066,1932,1966,75.0,38160,1893
41,1950,15627,16982,1323,1355,89.0,13677,1311
42,1963,280025,284950,4893,4925,6.0,278062,4711
43,2010,212733,216916,4158,4183,21.0,210723,4004
44,2046,123568,127112,3507,3544,44.0,121522,3396
45,2115,2121,4627,2465,2506,72.4,6,1020
46,2123,251670,256197,4494,4527,12.0,249547,4332
47,2144,188017,192069,4011,4052,27.0,185873,3880
48,2178,275123,280024,4872,4901,7.0,272945,4688
49,2198,5753,6891,1113,1138,97.0,3555,1104
50,2245,229608,233953,4305,4345,17.0,227363,4159
51,2246,67236,69762,2499,2526,63.0,64990,2426
52,2280,48304,50458,2121,2154,71.0,46024,2072
53,2455,300054,305203,5124,5149,2.0,297599,4924
54,2500,2520,3577,1029,1057,63.7,20,1007
55,2529,200193,204368,4137,4175,24.0,197664,3997
56,2537,284951,289915,4935,4964,5.0,282414,4748
57,2608,242687,247152,4431,4465,14.0,240079,4273
58,2628,97609,100584,2940,2975,52.0,94981,2854
59,2677,134250,137865,3591,3615,41.0,131573,3463
60,2955,179989,183977,3948,3988,29.0,177034,3819
61,3025,247153,251669,4494,4516,13.0,244128,4321
62,3052,216917,221112,4158,4195,20.0,213865,4016
63,3052,80483,83243,2730,2760,58.0,77431,2649
64,3090,64724,67235,2478,2511,64.0,61634,2412
65,3192,6892,8066,1134,1174,96.0,3700,1139
66,3218,10571,11837,1239,1266,93.0,7353,1226
67,3288,86010,88821,2772,2811,56.0,82722,2698
68,3309,20133,21738,1575,1605,86.0,16824,1549
69,3311,137866,141510,3612,3644,40.0,134555,3491
70,3478,59803,62259,2415,2456,66.0,56325,2360
71,3589,160578,164405,3801,3827,34.0,156989,3665
72,3728,120106,123567,3423,3461,45.0,116378,3317
73,3743,113343,116692,3318,3349,47.0,109600,3210
74,3754,50459,52681,2184,2222,70.0,46705,2137
75,3801,16983,18545,1533,1562,88.0,13182,1508
76,3817,305204,310397,5166,5193,1.0,301387,4966
77,3960,149116,152932,3780,3816,37.0,145156,3655
78,3961,18546,20132,1554,1586,87.0,14585,1531
79,4034,168235,172075,3801,3840,32.0,164201,3678
80,4049,145301,149115,3780,3814,38.0,141252,3653
81,4230,28637,30428,1764,1791,81.0,24407,1726
82,4244,156753,160577,3801,3824,35.0,152509,3662
83,4258,74996,77731,2709,2735,60.0,70738,2625
84,4280,8067,9317,1218,1250,95.0,3787,1211
85,4316,30429,32339,1869,1910,80.0,26113,1840
86,4373,265511,270290,4746,4779,9.0,261138,4572
87,4389,172076,176028,3927,3952,31.0,167687,3784
88,4397,36203,38147,1911,1944,77.0,31806,1872
89,4431,11838,13120,1260,1282,92.0,7407,1241
90,4432,57377,59802,2394,2425,67.0,52945,2330
91,4464,46188,48303,2079,2115,72.0,41724,2035
92,4515,233954,238300,4305,4346,16.0,229439,4160
93,4592,204369,208549,4158,4180,23.0,199777,4001
94,4676,130676,134249,3549,3573,42.0,126000,3423
95,4679,91684,94642,2919,2958,54.0,87005,2838
96,4761,88822,91683,2835,2861,55.0,84061,2745
97,4815,100585,103652,3045,3067,51.0,95770,2941
98,4922,9318,10570,1218,1252,94.0,4396,1213
99,4977,208550,212732,4158,4182,22.0,203573,4003
