pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times
0,40,40,28116,28041,28076,22.6,0,1114,MEDiUM,28076
1,167,187,78073,77852,77906,19.2,20,3653,MEDiUM,77906
2,212,229,76127,75871,75915,19.7,17,3466,MEDiUM,75915
3,519,523,78144,77593,77625,19.7,4,3547,MEDiUM,77625
4,564,565,57188,56582,56624,23.6,1,2180,MEDiUM,56624
5,593,607,41372,40729,40779,26.6,14,1395,MEDiUM,40779
6,605,628,84142,83487,83537,15.2,23,4866,LARGE,83537
7,622,649,81636,80953,81014,18.0,27,4033,LARGE,81014
8,638,670,73885,73191,73247,20.7,32,3183,MEDiUM,73247
9,843,859,82448,81565,81605,17.4,16,4183,LARGE,81605
10,902,922,83863,82913,82961,16.0,20,4627,LARGE,82961
11,914,943,48222,47252,47308,25.8,29,1666,MEDiUM,47308
12,1016,1027,74860,73804,73844,20.7,11,3228,MEDiUM,73844
13,1217,1237,81919,80652,80702,18.0,20,4029,LARGE,80702
14,1319,1321,67842,66496,66523,22.1,2,2724,MEDiUM,66523
15,1323,1342,80215,78843,78892,18.9,19,3749,MEDiUM,78892
16,1349,1363,67875,66480,66526,22.1,14,2731,MEDiUM,66526
17,1526,1531,52148,50577,50622,25.2,5,1839,MEDiUM,50622
18,1560,1573,83988,82375,82428,15.8,13,4659,LARGE,82428
19,1702,1720,39739,37989,38037,27.8,18,1249,MEDiUM,38037
20,1745,1762,44032,42236,42287,27.0,17,1433,MEDiUM,42287
21,1925,1930,79092,77125,77167,19.5,5,3576,MEDiUM,77167
22,1928,1951,60949,58976,59021,23.5,23,2281,MEDiUM,59021
23,2214,2224,78340,76089,76126,19.8,10,3466,MEDiUM,76126
24,2350,2350,46304,43930,43954,26.7,0,1503,MEDiUM,43954
25,2419,2434,2450,0,31,25.0,15,16,SMALL,31
26,2505,2514,14258,11718,11753,37.4,9,285,SMALL,11753
27,2679,2682,4273,1554,1594,33.0,3,56,SMALL,1594
28,2695,2703,5301,2560,2606,36.5,8,77,SMALL,2606
29,2719,2724,11535,8781,8816,39.0,5,209,SMALL,8816
30,2799,2808,21206,18369,18407,34.8,9,488,SMALL,18407
31,2933,2934,12547,9589,9614,39.0,1,223,SMALL,9614
32,2950,2955,6701,3706,3751,40.4,5,99,SMALL,3751
33,3050,3060,4863,1781,1813,38.3,10,41,SMALL,1813
34,3211,3228,17032,13782,13821,36.9,17,341,SMALL,13821
35,3259,3270,21584,18275,18325,34.8,11,498,SMALL,18325
36,3436,3438,21721,18252,18285,34.8,2,490,SMALL,18285
37,3495,3501,6324,2788,2829,41.2,6,74,SMALL,2829
38,3610,3627,9202,5545,5592,41.7,17,129,SMALL,5592
39,3880,3900,10378,6449,6498,41.5,20,148,SMALL,6498
40,4132,4152,9823,5633,5691,42.3,20,137,SMALL,5691
41,4331,4337,20504,16145,16173,35.4,6,421,SMALL,16173
42,4487,4505,18024,13494,13537,36.6,18,344,SMALL,13537
43,4543,4547,9262,4677,4719,42.8,4,117,SMALL,4719
44,4545,4568,10937,6336,6392,41.4,23,152,SMALL,6392
45,4570,4589,7491,2869,2921,44.0,19,72,SMALL,2921
46,4585,4610,9301,4653,4716,42.8,25,117,SMALL,4716
47,4628,4631,22389,17721,17761,34.2,3,496,SMALL,17761
48,4787,4799,21376,16555,16589,35.0,12,441,SMALL,16589
49,4962,4969,14210,9217,9248,38.9,7,223,SMALL,9248
