pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times
0,40,40,26730,26655,26690,23.3,0,1114,MEDiUM,26690
1,167,208,77632,77390,77465,20.3,41,3653,MEDiUM,77465
2,212,271,75875,75577,75663,20.9,59,3466,MEDiUM,75663
3,519,586,77850,77236,77331,20.8,67,3547,MEDiUM,77331
4,564,649,57020,56330,56456,24.9,85,2180,MEDiUM,56456
5,593,712,41078,40330,40485,28.0,119,1395,MEDiUM,40485
6,605,733,84142,83382,83537,16.4,128,4866,LARGE,83537
7,622,775,81594,80785,80972,19.2,153,4033,LARGE,80972
8,638,817,73843,73002,73205,21.9,179,3183,MEDiUM,73205
9,843,1048,82448,81376,81605,18.6,205,4183,LARGE,81605
10,902,1132,83842,82682,82940,17.1,230,4627,LARGE,82940
11,914,1153,48264,47084,47350,27.1,239,1666,MEDiUM,47350
12,1016,1279,74965,73657,73949,21.8,263,3228,MEDiUM,73949
13,1217,1510,81919,80379,80702,19.1,293,4029,LARGE,80702
14,1319,1615,68010,66370,66691,23.3,296,2724,MEDiUM,66691
15,1323,1657,80278,78591,78955,20.1,334,3749,MEDiUM,78955
16,1349,1699,68085,66354,66736,23.3,350,2731,MEDiUM,66736
17,1526,1888,52358,50430,50832,26.5,362,1839,MEDiUM,50832
18,1560,1951,84009,82018,82449,16.9,391,4659,LARGE,82449
19,1702,2119,40075,37926,38373,29.3,417,1249,MEDiUM,38373
20,1745,2182,44326,42110,42581,28.3,437,1433,MEDiUM,42581
21,1925,2371,79197,76789,77272,20.6,446,3576,MEDiUM,77272
22,1928,2392,61222,58808,59294,24.6,464,2281,MEDiUM,59294
23,2214,2707,78445,75711,76231,20.9,493,3466,MEDiUM,76231
24,2350,2854,46703,43825,44353,27.9,504,1503,MEDiUM,44353
25,2419,2959,2975,0,556,33.0,540,16,SMALL,556
26,2505,3060,14758,11672,12253,39.8,555,285,SMALL,12253
27,2679,3249,4798,1512,2119,40.0,570,56,SMALL,2119
28,2695,3291,5826,2497,3131,42.0,596,77,SMALL,3131
29,2719,3333,12102,8739,9383,41.6,614,209,SMALL,9383
30,2799,3438,21836,18369,19037,36.6,639,488,SMALL,19037
31,2933,3585,13156,9547,10223,41.3,652,223,SMALL,10223
32,2950,3627,7247,3580,4297,43.6,677,99,SMALL,4297
33,3050,3732,5409,1655,2359,42.7,682,41,SMALL,2359
34,3211,3921,17704,13761,14493,38.7,710,341,SMALL,14493
35,3259,3984,22277,18254,19018,36.4,725,498,SMALL,19018
36,3436,4173,22414,18210,18978,36.2,737,490,SMALL,18978
37,3495,4257,7059,2767,3564,45.0,762,74,SMALL,3564
38,3610,4404,9979,5545,6369,44.3,794,129,SMALL,6369
39,3880,4698,11155,6428,7275,43.6,818,148,SMALL,7275
40,4132,4967,10600,5595,6468,44.3,835,137,SMALL,6468
41,4331,5177,21323,16124,16992,36.7,846,421,SMALL,16992
42,4487,5345,18822,13452,14335,37.8,858,344,SMALL,14335
43,4543,5410,10102,4654,5559,44.3,867,117,SMALL,5559
44,4545,5431,11777,6313,7232,42.8,886,152,SMALL,7232
45,4570,5473,8352,2846,3782,45.2,903,72,SMALL,3782
46,4585,5515,10183,4630,5598,44.0,930,117,SMALL,5598
47,4628,5578,23271,17656,18643,35.1,950,496,SMALL,18643
48,4787,5746,22258,16490,17471,35.8,959,441,SMALL,17471
49,4962,5932,15119,9163,10157,39.7,970,223,SMALL,10157
