pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times
0,25,25,67146,67091,67121,25.7,0,2949
1,67,67,25583,25485,25516,36.4,0,1590
2,142,156594,161597,4977,5003,3.0,156452,4785
3,435,445,23934,23458,23489,42.9,10,1450
4,437,123937,128257,4284,4320,10.0,123500,4135
5,496,53199,55735,2499,2536,30.0,52703,2436
6,522,529,19556,19001,19027,46.8,7,1325
7,535,20956,22432,1449,1476,46.0,20421,1426
8,554,571,1624,1029,1053,22.7,17,1003
9,574,46183,48450,2226,2267,33.0,45609,2180
10,617,67147,70373,3192,3226,25.0,66530,3093
11,661,132760,137319,4536,4559,8.0,132099,4362
12,677,166738,171910,5145,5172,1.0,166061,4946
13,718,73732,77099,3339,3367,23.0,73014,3227
14,787,91367,95185,3780,3818,18.0,90580,3657
15,814,115474,119676,4179,4202,12.0,114660,4022
16,824,31242,33254,1974,2012,40.0,30418,1937
17,917,61063,64070,2982,3007,27.0,60146,2884
18,920,1625,18185,16522,16560,46.7,705,1297
19,925,39544,41726,2142,2182,36.0,38619,2099
20,962,84019,87579,3528,3560,20.0,83057,3411
21,996,50820,53198,2352,2378,31.0,49824,2285
22,1058,58306,61062,2730,2756,28.0,57248,2645
23,1059,55736,58305,2541,2569,29.0,54677,2467
24,1166,107160,111285,4095,4125,14.0,105994,3949
25,1194,37370,39543,2142,2173,37.0,36176,2090
26,1195,25584,27375,1764,1791,43.0,24389,1726
27,1385,80477,84018,3507,3541,21.0,79092,3393
28,1386,33255,35286,1995,2031,39.0,31869,1955
29,1409,77100,80476,3339,3376,22.0,75691,3236
30,1448,161598,166737,5103,5139,2.0,160150,4915
31,1485,41727,43936,2184,2209,35.0,40242,2124
32,1496,48451,50819,2331,2368,32.0,46955,2276
33,1542,119677,123936,4221,4259,11.0,118135,4077
34,1580,29281,31241,1932,1960,41.0,27701,1887
35,1589,151614,156593,4956,4979,4.0,150025,4762
36,1614,87580,91366,3759,3786,19.0,85966,3626
37,1642,43937,46182,2205,2245,34.0,42295,2159
38,1664,146691,151613,4893,4922,5.0,145027,4708
39,1878,27376,29280,1869,1904,42.0,25498,1834
40,1893,95186,99043,3822,3857,17.0,93293,3694
41,1897,70374,73731,3318,3357,24.0,68477,3218
42,1926,141950,146690,4704,4740,6.0,140024,4535
43,1953,103087,107159,4032,4072,15.0,101134,3899
44,1960,35287,37369,2058,2082,38.0,33327,2003
45,2021,19557,20955,1365,1398,47.0,17536,1352
46,2075,137320,141949,4599,4629,7.0,135245,4429
47,2092,99044,103086,4011,4042,16.0,96952,3870
48,2154,111286,115473,4158,4187,13.0,109132,4008
49,2155,128258,132759,4473,4501,9.0,126103,4307
50,2173,2192,13519,11288,11327,56.7,19,438
51,2199,2213,9662,7415,7449,64.5,14,333
52,2257,2276,9009,6710,6733,68.0,19,322
53,2277,11084,11468,357,384,62.0,8807,386
54,2290,2297,6581,4245,4284,72.4,7,258
55,2304,13970,14433,441,463,55.0,11666,461
56,2308,12249,12652,378,403,59.0,9941,404
57,2361,2381,3038,631,657,61.1,20,205
58,2488,2507,2715,180,208,60.5,19,107
59,2499,6622,6904,252,282,76.0,4123,289
60,2569,2570,2623,21,53,61.0,1,51
61,2588,9997,10332,294,335,65.0,7409,340
62,2609,13520,13969,420,449,56.0,10911,448
63,2702,12653,13080,399,427,58.0,9951,427
64,2705,2716,2843,105,127,62.4,11,121
65,2791,6122,6621,460,499,77.8,3331,258
66,2869,3039,3814,746,775,68.7,170,228
67,2894,8080,8379,273,299,71.0,5186,305
68,3145,3165,3296,105,131,65.3,20,125
69,3198,7484,7780,273,296,73.0,4286,302
70,3224,7781,8079,273,298,72.0,4557,304
71,3320,8380,8691,273,311,70.0,5060,317
72,3355,7194,7483,252,289,74.0,3839,296
73,3399,11856,12248,357,392,60.0,8457,394
74,3415,3423,3595,147,172,70.4,8,164
75,3451,11469,11855,357,386,61.0,8018,388
76,3467,15858,16348,462,490,51.0,12391,487
77,3599,16349,16844,462,495,50.0,12750,492
78,3623,6905,7193,252,288,75.0,3282,295
79,3624,3815,6100,2261,2285,77.2,191,243
80,3668,9010,9333,294,323,68.0,5342,328
81,3847,15370,15857,462,487,52.0,11523,484
82,3856,3857,3912,21,55,75.7,1,53
83,3860,3913,3979,42,66,75.0,53,83
84,3999,4001,4036,0,35,75.0,2,34
85,4094,4100,4285,147,185,76.0,6,177
86,4132,4286,5637,1327,1351,80.7,154,223
87,4250,14434,14900,441,466,54.0,10184,464
88,4255,9663,9996,294,333,66.0,5408,338
89,4291,4307,4421,84,114,79.0,16,109
90,4309,4514,5241,688,727,81.3,205,158
91,4396,10703,11083,357,380,63.0,6307,382
92,4419,4422,4513,63,91,80.0,3,87
93,4604,4619,4851,203,232,81.1,15,128
94,4641,4661,4737,42,76,81.0,20,73
95,4745,14901,15369,441,468,53.0,10156,466
96,4778,5638,5865,189,227,80.0,860,237
97,4916,5242,5423,147,181,82.0,326,193
98,4943,4957,5096,105,139,83.7,14,133
99,4981,10333,10702,336,369,64.0,5352,372
