instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times
0,0,31561,31549,31561,43.4,0
0,11,35755,35737,35744,42.3,11
0,17,53327,53303,53310,31.1,17
0,22,17385,17358,17363,48.1,22
1,26,52962,52931,52936,31.8,25
1,29,22259,22226,22230,46.6,28
3,32,19629,19593,19597,47.5,29
3,35,11891,11852,11856,49.3,32
4,38,53765,53723,53727,30.3,34
5,41,43573,43529,43532,39.5,36
6,43,51659,51613,51616,33.4,37
6,45,52255,52207,52210,32.7,39
6,47,37369,37319,37322,41.9,41
6,49,7981,7929,7932,49.6,43
6,51,34907,34853,34856,42.8,45
6,53,40855,40799,40802,40.5,47
7,55,53797,53736,53742,30.3,48
7,57,12965,12905,12908,49.3,50
7,59,52488,52425,52429,32.4,52
7,61,43325,43261,43264,39.6,54
8,63,44063,43997,44000,39.2,55
9,65,46661,46593,46596,37.5,56
9,67,52281,52211,52214,32.7,58
9,69,42783,42711,42714,39.8,60
9,71,42953,42879,42882,39.8,62
9,73,43437,43361,43364,39.6,64
10,75,45655,45577,45580,38.2,65
10,77,49165,49085,49088,35.7,67
11,79,53117,53035,53038,31.6,68
11,81,32903,32819,32822,43.4,70
12,83,17433,17347,17350,48.3,71
12,85,35003,34915,34918,42.8,73
13,87,37459,37369,37372,41.9,74
13,89,47655,47563,47566,36.8,76
13,91,51317,51223,51226,33.8,78
14,93,24103,24007,24010,46.0,79
14,95,50453,50355,50358,34.6,81
15,97,31099,30999,31002,44.0,82
15,99,53695,53593,53596,30.5,84
15,101,21515,21411,21414,47.0,86
15,103,14031,13925,13928,49.2,88
16,105,47357,47249,47252,37.0,89
16,107,13297,13187,13190,49.4,91
16,109,53841,53722,53732,30.2,93
17,111,51505,51391,51394,33.6,94
18,113,44089,43973,43976,39.2,95
18,115,49179,49061,49064,35.7,97
19,117,53804,53684,53687,30.3,98
19,119,51213,51091,51094,33.9,100
19,121,20627,20503,20506,47.4,102
