instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times
0,0,92,77,92,5.0,0
0,93,501,396,408,27.5,93
0,502,540,22,38,47.2,502
0,541,1319,759,778,47.0,541
0,1320,2381,1045,1061,46.0,1320
1,2382,2512,110,130,45.0,2381
1,2513,2763,231,250,44.0,2512
2,2764,3000,220,236,43.0,2762
2,3001,3711,693,710,42.0,2999
2,3712,4621,891,909,41.0,3710
2,4622,5080,440,458,40.0,4620
2,5081,5781,682,700,39.0,5079
2,5782,6363,561,581,38.0,5780
3,6364,7351,968,987,37.0,6361
3,7352,7507,143,155,36.0,7349
4,7508,7907,385,399,35.0,7504
4,7908,8706,781,798,34.0,7904
4,8707,9407,682,700,33.0,8703
4,9408,9785,363,377,32.0,9404
5,9786,10734,935,948,31.0,9781
5,10735,10876,121,141,30.0,10730
5,10877,11555,660,678,29.0,10872
7,11556,12472,902,916,28.0,11549
7,12473,13370,880,897,27.0,12466
8,13371,14263,880,892,26.0,13363
8,14264,14614,330,350,25.0,14256
8,14615,15406,770,791,24.0,14607
8,15407,15969,550,562,23.0,15399
9,15970,16680,693,710,22.0,15961
10,16681,17661,968,980,21.0,16671
12,17662,17857,176,195,20.0,17650
12,17858,18294,418,436,19.0,17846
12,18295,19386,1078,1091,18.0,18283
12,19387,19482,77,95,17.0,19375
13,19483,19888,385,405,16.0,19470
13,19889,19931,22,42,15.0,19876
14,19932,20505,561,573,14.0,19918
14,20506,21130,605,624,13.0,20492
15,21131,22059,913,928,12.0,21116
15,22060,23115,1034,1055,11.0,22045
16,23116,23834,704,718,10.0,23100
16,23835,24844,990,1009,9.0,23819
17,24845,25167,308,322,8.0,24828
17,25168,25303,121,135,7.0,25151
17,25304,25901,583,597,6.0,25287
18,25902,26145,231,243,5.0,25884
19,26146,26914,748,768,4.0,26127
19,26915,27187,253,272,3.0,26896
19,27188,28241,1034,1053,2.0,27169
19,28242,29039,781,797,1.0,28223
