instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times
0,0,5414,5395,5414,5.0,0
1,22,18947,18911,18925,5.0,21
1,44,18143,18083,18099,5.0,43
1,66,13336,13255,13270,5.0,65
1,88,27273,27166,27185,5.0,87
1,110,28012,27881,27902,5.0,109
2,132,28732,28585,28600,5.0,130
2,154,15393,15225,15239,5.0,152
3,176,24077,23887,23901,5.0,173
3,198,28811,28601,28613,5.0,195
3,220,22777,22538,22557,5.0,217
4,242,27748,27494,27506,5.0,238
4,264,24806,24529,24542,5.0,260
4,286,28893,28592,28607,5.0,282
4,308,630,308,322,5.0,304
5,330,10290,9940,9960,5.0,325
5,352,6442,6075,6090,5.0,347
5,374,12589,12198,12215,5.0,369
5,396,22735,22327,22339,5.0,391
5,418,28365,27932,27947,5.0,413
6,440,16696,16239,16256,5.0,434
6,462,22513,22036,22051,5.0,456
6,484,22819,22323,22335,5.0,478
7,506,28617,28099,28111,5.0,499
7,528,28473,27932,27945,5.0,521
7,550,11559,10994,11009,5.0,543
8,572,28924,28335,28352,5.0,564
9,594,28426,27816,27832,5.0,585
9,616,28917,28289,28301,5.0,607
9,631,20005,19362,19374,5.0,622
10,653,1200,528,547,5.0,643
10,675,24073,23382,23398,5.0,665
11,697,20022,19309,19325,5.0,686
11,719,18404,17667,17685,5.0,708
11,741,28338,27580,27597,5.0,730
12,763,3414,2638,2651,5.0,751
13,785,26813,26014,26028,5.0,772
13,807,28604,27777,27797,5.0,794
13,829,6545,5702,5716,5.0,816
13,851,15125,14257,14274,5.0,838
14,873,16689,15797,15816,5.0,859
15,895,9994,9083,9099,5.0,880
15,917,23275,22338,22358,5.0,902
16,939,22795,21839,21856,5.0,923
16,961,26039,25059,25078,5.0,945
17,983,23067,22068,22084,5.0,966
17,1005,10575,9550,9570,5.0,988
18,1027,12814,11772,11787,5.0,1009
19,1049,25535,24473,24486,5.0,1030
19,1071,18980,17888,17909,5.0,1052
