instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times
0,0,22419,22407,22419,34.2,0
0,11,24259,24241,24248,28.9,11
0,17,22989,22965,22972,33.1,17
1,22,19589,19562,19567,38.8,21
1,26,21427,21397,21401,36.8,25
1,29,24307,24272,24278,29.0,28
1,32,24128,24092,24096,29.8,31
2,35,7489,7450,7454,47.0,33
2,38,23985,23942,23947,30.3,36
3,41,21821,21777,21780,36.3,38
3,43,22317,22271,22274,35.4,40
3,45,11919,11871,11874,44.9,42
4,47,16945,16895,16898,41.6,43
4,49,24295,24241,24246,29.2,45
4,51,2583,2529,2532,48.7,47
5,53,14281,14225,14228,43.3,48
5,55,2587,2529,2532,48.7,50
5,57,17959,17899,17902,40.8,52
5,59,20155,20093,20096,38.5,54
5,61,21681,21617,21620,36.6,56
6,63,17903,17837,17840,40.9,57
7,65,9693,9625,9628,46.3,58
8,67,21399,21329,21332,37.0,59
8,69,22821,22749,22752,33.9,61
8,71,18027,17953,17956,40.8,63
9,73,9533,9457,9460,46.4,64
9,75,22101,22023,22026,35.8,66
10,77,22801,22721,22724,34.0,67
11,79,5273,5191,5194,48.3,68
12,81,23316,23231,23235,32.5,69
12,83,21651,21565,21568,36.7,71
12,85,9543,9455,9458,46.5,73
12,87,24311,24219,24224,29.1,75
13,89,21015,20923,20926,37.5,76
14,91,18321,18227,18230,40.5,77
14,93,16645,16549,16552,41.9,79
15,95,22585,22487,22490,34.7,80
16,97,20465,20365,20368,38.2,81
16,99,12273,12171,12174,44.9,83
17,101,3977,3873,3876,49.0,84
17,103,22239,22133,22136,35.6,86
18,105,5297,5189,5192,48.5,87
18,107,8957,8847,8850,46.8,89
18,109,18329,18217,18220,40.6,91
19,111,12951,12837,12840,44.4,92
20,113,12433,12317,12320,44.8,93
20,115,17497,17379,17382,41.3,95
20,117,24322,24198,24205,29.1,97
20,119,15025,14903,14906,43.0,99
20,121,22417,22293,22296,35.2,101
