instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times
0,0,149,132,149,7.5,0
0,150,591,429,441,33.6,150
0,592,1081,473,489,48.0,592
0,1082,1336,242,254,47.0,1082
1,1337,1630,275,293,46.0,1336
2,1631,2142,495,511,45.0,1629
2,2143,2206,44,63,44.0,2141
2,2207,2472,253,265,43.0,2205
2,2473,2906,418,433,42.0,2471
3,2907,3146,220,239,41.0,2904
4,3147,3696,528,549,40.0,3143
4,3697,4171,462,474,39.0,3693
5,4172,4589,396,417,38.0,4167
6,4590,4699,88,109,37.0,4584
6,4700,4830,110,130,36.0,4694
6,4831,5374,528,543,35.0,4825
6,5375,5412,22,37,34.0,5369
7,5413,5441,11,28,33.0,5406
7,5442,5765,308,323,32.0,5435
7,5766,5991,209,225,31.0,5759
7,5992,6239,231,247,30.0,5985
7,6240,6668,407,428,29.0,6233
7,6669,6686,0,17,28.0,6662
8,6687,6760,55,73,27.0,6679
8,6761,7109,330,348,26.0,6753
8,7110,7200,77,90,25.0,7102
9,7201,7599,385,398,24.0,7192
9,7600,7687,66,87,23.0,7591
9,7688,7782,77,94,22.0,7679
10,7783,8114,319,331,21.0,7773
10,8115,8540,407,425,20.0,8105
10,8541,9018,462,477,19.0,8531
11,9019,9439,407,420,18.0,9008
11,9440,9645,187,205,17.0,9429
11,9646,10176,517,530,16.0,9635
11,10177,10214,22,37,15.0,10166
11,10215,10739,506,524,14.0,10204
12,10740,11017,264,277,13.0,10728
12,11018,11325,286,307,12.0,11006
12,11326,11779,440,453,11.0,11314
13,11780,11944,143,164,10.0,11767
13,11945,12436,473,491,9.0,11932
13,12437,12739,286,302,8.0,12424
14,12740,13164,407,424,7.0,12726
15,13165,13689,506,524,6.0,13150
15,13690,13887,176,197,5.0,13675
17,13888,14354,451,466,4.0,13871
18,14355,14529,154,174,3.0,14337
20,14530,14660,110,130,2.0,14510
20,14661,15137,462,476,1.0,14641
