instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times
0,0,12130,12112,12130,5.0,0
1,22,3912,3875,3890,5.0,21
1,44,103,44,59,5.0,43
2,66,11639,11560,11573,5.0,64
2,88,2764,2656,2676,5.0,86
2,104,8010,7892,7906,5.0,102
2,126,12213,12071,12087,5.0,124
2,148,4094,3930,3946,5.0,146
2,170,9376,9192,9206,5.0,168
3,192,10968,10763,10776,5.0,189
3,203,11440,11219,11237,5.0,200
5,225,9222,8985,8997,5.0,220
6,247,8710,8443,8463,5.0,241
7,269,8469,8182,8200,5.0,262
7,291,6863,6552,6572,5.0,284
8,313,11918,11585,11605,5.0,305
9,335,10326,9979,9991,5.0,326
9,357,10965,10588,10608,5.0,348
10,379,5032,4632,4653,5.0,369
11,401,11300,10882,10899,5.0,390
11,423,5913,5475,5490,5.0,412
11,445,7709,7251,7264,5.0,434
12,467,11946,11463,11479,5.0,455
13,489,9262,8756,8773,5.0,476
13,511,12292,11769,11781,5.0,498
13,533,12322,11771,11789,5.0,520
13,555,12229,11659,11674,5.0,542
14,577,6127,5535,5550,5.0,563
14,599,5358,4742,4759,5.0,585
14,621,9077,8442,8456,5.0,607
14,643,2215,1553,1572,5.0,629
14,665,1731,1051,1066,5.0,651
14,687,1744,1045,1057,5.0,673
15,709,10557,9827,9848,5.0,694
15,731,741,0,10,5.0,716
15,753,3720,2947,2967,5.0,738
15,775,5842,5046,5067,5.0,760
15,797,12268,11455,11471,5.0,782
16,819,7662,6828,6843,5.0,803
16,841,10823,9967,9982,5.0,825
16,863,4274,3397,3411,5.0,847
16,885,11570,10666,10685,5.0,869
17,907,11677,10755,10770,5.0,890
17,929,1462,517,533,5.0,912
17,951,11205,10236,10254,5.0,934
18,973,11054,10062,10081,5.0,955
18,995,4383,3368,3388,5.0,977
19,1017,10686,9651,9669,5.0,998
19,1039,10258,9207,9219,5.0,1020
20,1061,7162,6089,6101,5.0,1041
